Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,HDFC,EQ,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,667536400000,,,
2000-01-04,HDFC,EQ,293.5,317,317,297,304,304.05,303.62,255251,7749972375000,,,
2000-01-05,HDFC,EQ,304.05,290,303.9,285,295,292.8,294.53,269087,7925367705000,,,
2000-01-06,HDFC,EQ,292.8,301,314,295,296,296.45,300.14,305916,9181669105000,,,
2000-01-07,HDFC,EQ,296.45,290,296.35,281,287.1,286.55,288.8,197039,5690480500000,,,
2000-01-10,HDFC,EQ,286.55,292,296,285,288.4,287.2,289.42,133363,3859778795000,,,
2000-01-11,HDFC,EQ,287.2,290,292,273.25,282.85,283.85,284.54,337411,9600616635000,,,
2000-01-12,HDFC,EQ,283.85,287,293,284.5,285.25,285.6,287.6,222537,6400216900000,,,
2000-01-13,HDFC,EQ,285.6,288,290.5,283,284,283.85,285.84,113238,3236741395000,,,
2000-01-14,HDFC,EQ,283.85,284,294,276.25,291,286.55,283.6,152322,4319904740000,,,
2000-01-17,HDFC,EQ,286.55,302,309.5,295,303.5,302.2,302.87,500852,15169252255000,,,
2000-01-18,HDFC,EQ,302.2,307,317.85,301.05,305.25,305.75,308.57,369304,11395788435000,,,
2000-01-19,HDFC,EQ,305.75,310,315,303.05,304.5,305.25,308.98,377937,11677647125000,,,
2000-01-20,HDFC,EQ,305.25,303,306,288,291.9,291.35,297.57,208122,6193173250000,,,
2000-01-21,HDFC,EQ,291.35,292,307,290,299.5,299.55,300.93,591458,17798952630000,,,
2000-01-24,HDFC,EQ,299.55,306,306,291,294,293.05,295.58,207336,6128411875000,,,
2000-01-25,HDFC,EQ,293.05,285,308.95,281,305.5,303.15,299.56,512403,15349366555000,,,
2000-01-27,HDFC,EQ,303.15,315.9,316.6,309.9,316.6,316.6,316.02,838826,26508714185000,,,
2000-01-28,HDFC,EQ,316.6,328.5,328.9,315,326,324.4,323.32,1224604,39594151950000,,,
2000-01-31,HDFC,EQ,324.4,328.7,349.95,320.05,332.5,333.5,336.09,1449638,48720523915000,,,
2000-02-01,HDFC,EQ,333.5,337,353.9,335,351.25,350.55,345.34,1220141,42136299640000,,,
2000-02-02,HDFC,EQ,350.55,355,357,342,349,351.4,349.83,1124774,39347762685000,,,
2000-02-03,HDFC,EQ,351.4,345.55,351.5,338.15,342,341.9,344.17,338774,11659509050000,,,
2000-02-04,HDFC,EQ,341.9,342,362.4,341,350,357.2,352.79,1393426,49158003695000,,,
2000-02-07,HDFC,EQ,357.2,351,362.5,348.15,355,355.45,357.09,834598,29803046650000,,,
2000-02-08,HDFC,EQ,355.45,359,359,345.6,351,350.5,351.72,527223,18543334800000,,,
2000-02-09,HDFC,EQ,350.5,354,354,322.5,325,329.15,331.01,918950,30418080875000,,,
2000-02-10,HDFC,EQ,329.15,329,329,311.6,321,320.35,320.55,406175,13020081855000,,,
2000-02-11,HDFC,EQ,320.35,327,346,313,346,343.65,338.31,1361815,46071938860000,,,
2000-02-14,HDFC,EQ,343.65,354,369,345,354,359.15,359.35,1457178,52363608465000,,,
2000-02-15,HDFC,EQ,359.15,352.35,353.5,330.45,332,332.6,339.35,629569,21364623070000,,,
2000-02-16,HDFC,EQ,332.6,350,354.8,338.1,342.2,341.6,343.8,252848,8692923505000,,,
2000-02-17,HDFC,EQ,341.6,336,347,336,339,339.2,341.46,120854,4126676190000,,,
2000-02-18,HDFC,EQ,339.2,339,340,325,326.5,327.9,330.18,161499,5332294310000,,,
2000-02-21,HDFC,EQ,327.9,329,334,317.05,318,319.15,326.9,206189,6740248895000,,,
2000-02-22,HDFC,EQ,319.15,317,319.4,301.2,305,305.95,311.71,285365,8895013945000,,,
2000-02-23,HDFC,EQ,305.95,317,330.45,315,330.45,330.45,329.96,177171,5845898430000,,,
2000-02-24,HDFC,EQ,330.45,349.85,356,332,354,351.7,347.16,385844,13394791140000,,,
2000-02-25,HDFC,EQ,351.7,354,379.85,351.1,379.85,379.85,373.96,230532,8620973075000,,,
2000-02-28,HDFC,EQ,379.85,405.5,410.25,380.5,410.25,409.7,400.35,643659,25768828125000,,,
2000-02-29,HDFC,EQ,409.7,420,442.5,376.95,395,401.7,419.9,1014948,42617539200000,,,
2000-03-01,HDFC,EQ,401.7,405,433.85,400,433.85,433.85,421.87,494473,20860312580000,,,
2000-03-02,HDFC,EQ,433.85,456.9,468.6,442,468.6,468.6,465.74,542377,25260703505000,,,
2000-03-03,HDFC,EQ,468.6,489,489,431.15,471,473.05,456.43,878831,40112336265000,,,
2000-03-06,HDFC,EQ,473.05,479,479,435.25,438.5,443.5,452.36,670934,30350437195000,,,
2000-03-07,HDFC,EQ,443.5,447,447,408.05,413.1,412.2,419.21,377112,15808869045000,,,
2000-03-08,HDFC,EQ,412.2,415,425,391.05,415,416.7,414.88,370922,15388941870000,,,
2000-03-09,HDFC,EQ,416.7,419,419,388.1,397,399.6,400.73,167704,6720403930000,,,
2000-03-10,HDFC,EQ,399.6,400,408.9,390.3,395,397.55,399.83,181580,7260168885000,,,
2000-03-13,HDFC,EQ,397.55,386.1,406,367,382.55,381.6,390.9,225462,8813286560000,,,
2000-03-14,HDFC,EQ,381.6,385,400,367,397,396.65,389.14,207168,8061766870000,,,
2000-03-15,HDFC,EQ,396.65,406,406.8,386,400,400.5,394.07,118712,4678056925000,,,
2000-03-16,HDFC,EQ,400.5,405.85,405.85,395.1,399,398.2,398.1,90678,3609855535000,,,
2000-03-21,HDFC,EQ,398.2,398,427,397,411.5,406.35,411.51,178957,7364185550000,,,
2000-03-22,HDFC,EQ,406.35,414,428.8,374,415.5,413.25,412.46,192789,7951851920000,,,
2000-03-23,HDFC,EQ,413.25,424,446.35,404,411.4,409.85,428.59,211811,9078066025000,,,
2000-03-24,HDFC,EQ,409.85,409.95,420,402.6,416,416.8,413.23,71629,2959895605000,,,
